client_reference,claim_number,liquidation_number,claim_id,gestiones_activas,gestiones_total,inspecciones_total,inspecciones_activas,prioridad,accion,motivo
202605486,226015060,L-000000907,f5547e42-bb1c-4cab-9a98-2da777886f50,1,1,0,0,1,MANTENER,Gestiones activas
202605486,226015060,L-000001116,5a8a1ce0-a0c7-4757-bf04-bb1e3738af6a,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605487,226015047,L-000000971,c0fc602a-c1b6-436b-a1da-2994534708f9,1,1,0,0,1,MANTENER,Gestiones activas
202605487,226015047,L-000001284,224818a1-41dc-4992-8940-c4c9596c3fed,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605488,226015070,L-000000974,2bb6257b-1b09-43cd-8462-9ae38ac8dd1c,1,1,0,0,1,MANTENER,Gestiones activas
202605488,226015070,L-000001070,ff8e62fc-c2cc-4cab-a2da-86678a933703,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605489,226015081,L-000000989,482c0a77-71b8-4ae0-98fe-4a0364ad45de,1,1,0,0,1,MANTENER,Gestiones activas
202605489,226015081,L-000001095,896e7e04-9cbb-4b86-ae29-e362661cfca2,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605490,226015087,L-000000940,fb0d91ad-ab1d-4a6d-9403-bdfe7a013108,1,1,0,0,1,MANTENER,Gestiones activas
202605490,226015087,L-000001168,0d4210d0-2e2a-470b-8991-fad96986b23a,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
